Genre,URL
Art,https://www.goodreads.com/genres/art
Biography,https://www.goodreads.com/genres/biography
Business,https://www.goodreads.com/genres/business
Children's,https://www.goodreads.com/genres/children-s
Christian,https://www.goodreads.com/genres/christian
Classics,https://www.goodreads.com/genres/classics
Comics,https://www.goodreads.com/genres/comics
Cookbooks,https://www.goodreads.com/genres/cookbooks
Ebooks,https://www.goodreads.com/genres/ebooks
Fantasy,https://www.goodreads.com/genres/fantasy
Fiction,https://www.goodreads.com/genres/fiction
Graphic Novels,https://www.goodreads.com/genres/graphic-novels
Historical Fiction,https://www.goodreads.com/genres/historical-fiction
History,https://www.goodreads.com/genres/history
Horror,https://www.goodreads.com/genres/horror
Memoir,https://www.goodreads.com/genres/memoir
Music,https://www.goodreads.com/genres/music
Mystery,https://www.goodreads.com/genres/mystery
Nonfiction,https://www.goodreads.com/genres/non-fiction
Poetry,https://www.goodreads.com/genres/poetry
Psychology,https://www.goodreads.com/genres/psychology
Romance,https://www.goodreads.com/genres/romance
Science,https://www.goodreads.com/genres/science
Science Fiction,https://www.goodreads.com/genres/science-fiction
Self Help,https://www.goodreads.com/genres/self-help
Sports,https://www.goodreads.com/genres/sports
Thriller,https://www.goodreads.com/genres/thriller
Travel,https://www.goodreads.com/genres/travel
Young Adult,https://www.goodreads.com/genres/young-adult
Art,https://www.goodreads.com/genres/art
Biography,https://www.goodreads.com/genres/biography
Business,https://www.goodreads.com/genres/business
Children's,https://www.goodreads.com/genres/children-s
Christian,https://www.goodreads.com/genres/christian
Classics,https://www.goodreads.com/genres/classics
Comics,https://www.goodreads.com/genres/comics
Cookbooks,https://www.goodreads.com/genres/cookbooks
Ebooks,https://www.goodreads.com/genres/ebooks
Fantasy,https://www.goodreads.com/genres/fantasy
Fiction,https://www.goodreads.com/genres/fiction
Graphic Novels,https://www.goodreads.com/genres/graphic-novels
Historical Fiction,https://www.goodreads.com/genres/historical-fiction
History,https://www.goodreads.com/genres/history
Horror,https://www.goodreads.com/genres/horror
Memoir,https://www.goodreads.com/genres/memoir
Music,https://www.goodreads.com/genres/music
Mystery,https://www.goodreads.com/genres/mystery
Nonfiction,https://www.goodreads.com/genres/non-fiction
Poetry,https://www.goodreads.com/genres/poetry
Psychology,https://www.goodreads.com/genres/psychology
Romance,https://www.goodreads.com/genres/romance
Science,https://www.goodreads.com/genres/science
Science Fiction,https://www.goodreads.com/genres/science-fiction
Self Help,https://www.goodreads.com/genres/self-help
Sports,https://www.goodreads.com/genres/sports
Thriller,https://www.goodreads.com/genres/thriller
Travel,https://www.goodreads.com/genres/travel
Young Adult,https://www.goodreads.com/genres/young-adult
40k,https://www.goodreads.com/genres/40k
aapi,https://www.goodreads.com/genres/aapi
addiction,https://www.goodreads.com/genres/addiction
adolescence,https://www.goodreads.com/genres/adolescence
adult,https://www.goodreads.com/genres/adult
aeroplanes,https://www.goodreads.com/genres/aeroplanes
agatha-christie,https://www.goodreads.com/genres/agatha-christie
age-gap-romance,https://www.goodreads.com/genres/age-gap-romance
amish,https://www.goodreads.com/genres/amish
animals,https://www.goodreads.com/genres/animals
anthologies,https://www.goodreads.com/genres/anthologies
art-and-photography,https://www.goodreads.com/genres/art-and-photography
artificial-intelligence,https://www.goodreads.com/genres/artificial-intelligence
asian-american,https://www.goodreads.com/genres/asian-american
audiobook,https://www.goodreads.com/genres/audiobook
aviation,https://www.goodreads.com/genres/aviation
beach-reads,https://www.goodreads.com/genres/beach-reads
biblical,https://www.goodreads.com/genres/biblical
billionaire-romance,https://www.goodreads.com/genres/billionaire-romance
billionaires,https://www.goodreads.com/genres/billionaires
biographical-fiction,https://www.goodreads.com/genres/biographical-fiction
biography-memoir,https://www.goodreads.com/genres/biography-memoir
bird-watching,https://www.goodreads.com/genres/bird-watching
boating,https://www.goodreads.com/genres/boating
