folder_name,path,count
Nora Roberts,D:\Novels Library\Final_all_books\Nora Roberts,251
Bella Forrest,D:\Novels Library\Final_all_books\Bella Forrest,182
Elizabeth Lennox,D:\Novels Library\Final_all_books\Elizabeth Lennox,168
James Patterson,D:\Novels Library\Final_all_books\James Patterson,153
Jonathan Moeller,D:\Novels Library\Final_all_books\Jonathan Moeller,145
J. D. Robb,D:\Novels Library\Final_all_books\J. D. Robb,143
Penny Jordan,D:\Novels Library\Final_all_books\Penny Jordan,141
E. L. Todd,D:\Novels Library\Final_all_books\E. L. Todd,140
Danielle Steel,D:\Novels Library\Final_all_books\Danielle Steel,138
Diana Palmer,D:\Novels Library\Final_all_books\Diana Palmer,120
Carole Mortimer,D:\Novels Library\Final_all_books\Carole Mortimer,111
Lynne Graham,D:\Novels Library\Final_all_books\Lynne Graham,110
Alison Roberts,D:\Novels Library\Final_all_books\Alison Roberts,109
Maya Banks,D:\Novels Library\Final_all_books\Maya Banks,108
Shannon Mayer,D:\Novels Library\Final_all_books\Shannon Mayer,105
Nalini Singh,D:\Novels Library\Final_all_books\Nalini Singh,104
Charlie Richards,D:\Novels Library\Final_all_books\Charlie Richards,98
James Hadley Chase,D:\Novels Library\Final_all_books\James Hadley Chase,89
Rick Riordan,D:\Novels Library\Final_all_books\Rick Riordan,88
Meg Xuemei X,D:\Novels Library\Final_all_books\Meg Xuemei X,80
William Shakespeare,D:\Novels Library\Final_all_books\William Shakespeare,80
Miranda Lee,D:\Novels Library\Final_all_books\Miranda Lee,73
John Grisham,D:\Novels Library\Final_all_books\John Grisham,72
Lee Child,D:\Novels Library\Final_all_books\Lee Child,72
R. L. Stine,D:\Novels Library\Final_all_books\R. L. Stine,70
Heather Graham,D:\Novels Library\Final_all_books\Heather Graham,69
Stephen King,D:\Novels Library\Final_all_books\Stephen King,68
Cassandra Clare,D:\Novels Library\Final_all_books\Cassandra Clare,67
Lindsay Buroker,D:\Novels Library\Final_all_books\Lindsay Buroker,66
Mercedes Lackey,D:\Novels Library\Final_all_books\Mercedes Lackey,66
Anne Mather,D:\Novels Library\Final_all_books\Anne Mather,65
CLARE CONNELLY,D:\Novels Library\Final_all_books\CLARE CONNELLY,63
Catherine Mann,D:\Novels Library\Final_all_books\Catherine Mann,61
David Baldacci,D:\Novels Library\Final_all_books\David Baldacci,61
Keri Arthur,D:\Novels Library\Final_all_books\Keri Arthur,61
Carla Cassidy,D:\Novels Library\Final_all_books\Carla Cassidy,60
Janice Maynard,D:\Novels Library\Final_all_books\Janice Maynard,60
Neil Gaiman,D:\Novels Library\Final_all_books\Neil Gaiman,60
Amy Sumida,D:\Novels Library\Final_all_books\Amy Sumida,59
Dana Mentink,D:\Novels Library\Final_all_books\Dana Mentink,59
Jane Jamison,D:\Novels Library\Final_all_books\Jane Jamison,59
Vanessa Vale,D:\Novels Library\Final_all_books\Vanessa Vale,59
Andre Norton,D:\Novels Library\Final_all_books\Andre Norton,58
Daniel Arenson,D:\Novels Library\Final_all_books\Daniel Arenson,58
Maisey Yates,D:\Novels Library\Final_all_books\Maisey Yates,57
Alex Archer,D:\Novels Library\Final_all_books\Alex Archer,56
Day Leclaire,D:\Novels Library\Final_all_books\Day Leclaire,55
Simon R. Green,D:\Novels Library\Final_all_books\Simon R. Green,55
Charlaine Harris,D:\Novels Library\Final_all_books\Charlaine Harris,54
Diane Capri,D:\Novels Library\Final_all_books\Diane Capri,54
S. E. Smith,D:\Novels Library\Final_all_books\S. E. Smith,53
Marion Lennox,D:\Novels Library\Final_all_books\Marion Lennox,52
Sharon Kendrick,D:\Novels Library\Final_all_books\Sharon Kendrick,51
J. R. R. Tolkien,D:\Novels Library\Final_all_books\J. R. R. Tolkien,50
Dale Mayer,D:\Novels Library\Final_all_books\Dale Mayer,49
Dave Duncan,D:\Novels Library\Final_all_books\Dave Duncan,49
Ilona Andrews,D:\Novels Library\Final_all_books\Ilona Andrews,49
Emma Darcy,D:\Novels Library\Final_all_books\Emma Darcy,48
Viola Grace,D:\Novels Library\Final_all_books\Viola Grace,48
Yvonne Lindsay,D:\Novels Library\Final_all_books\Yvonne Lindsay,48
Carol Marinelli,D:\Novels Library\Final_all_books\Carol Marinelli,47
Charlotte Lamb,D:\Novels Library\Final_all_books\Charlotte Lamb,47
George R. R. Martin,D:\Novels Library\Final_all_books\George R. R. Martin,47
Barb Hendee,D:\Novels Library\Final_all_books\Barb Hendee,46
C. J. Cherryh,D:\Novels Library\Final_all_books\C. J. Cherryh,46
Brandon Sanderson,D:\Novels Library\Final_all_books\Brandon Sanderson,45
Katie Dowe,D:\Novels Library\Final_all_books\Katie Dowe,45
Lynsay Sands,D:\Novels Library\Final_all_books\Lynsay Sands,45
Piers Anthony,D:\Novels Library\Final_all_books\Piers Anthony,45
Sarah Morgan,D:\Novels Library\Final_all_books\Sarah Morgan,45
Franklin W. Dixon,D:\Novels Library\Final_all_books\Franklin W. Dixon,44
Kelley Armstrong,D:\Novels Library\Final_all_books\Kelley Armstrong,44
Elizabeth Bevarly,D:\Novels Library\Final_all_books\Elizabeth Bevarly,43
Evangeline Anderson,D:\Novels Library\Final_all_books\Evangeline Anderson,42
Jeff Wheeler,D:\Novels Library\Final_all_books\Jeff Wheeler,42
Janet Evanovich,D:\Novels Library\Final_all_books\Janet Evanovich,41
Laurann Dohner,D:\Novels Library\Final_all_books\Laurann Dohner,41
Lucy Monroe,D:\Novels Library\Final_all_books\Lucy Monroe,40
Shayne Silvers,D:\Novels Library\Final_all_books\Shayne Silvers,40
Terry Goodkind,D:\Novels Library\Final_all_books\Terry Goodkind,40
Diane Gaston,D:\Novels Library\Final_all_books\Diane Gaston,39
