"id","category_name","category_image","status"
"1","Fiction","fiction.png","0"
"2","Fantasy","fantasy.png","0"
"3","Science Fiction","science_fiction.png","0"
"4","Romance","romance.png","0"
"5","Mystery","mystery.png","0"
"6","Thriller","thriller.png","0"
"7","Horror","horror.png","0"
"8","Historical Fiction","historical_fiction.png","0"
"9","Young Adult","young_adult.png","0"
"10","Children’s","children.png","0"
"11","Classics","classics.png","0"
"15","Poetry","poetry.png","0"
"16","Nonfiction","nonfiction.png","0"
"17","Biography","biography.png","0"
"18","Memoir","memoir.png","0"
"19","History","history.png","0"
"20","Science","science.png","0"
"21","Philosophy","philosophy.png","0"
"22","Psychology","psychology.png","0"
"23","Religion","religion.png","0"
"24","Spirituality","spirituality.png","0"
"25","Self Help","self_help.png","0"
"26","Business","business.png","0"
"27","Art","art.png","0"
"28","Music","music.png","0"
"29","Sports","sports.png","0"
"30","Travel","travel.png","0"
"31","Cookbooks","cookbooks.png","0"
"32","Ebooks","ebooks.png","0"
"33","Christian","christian.png","0"
"34","Contemporary","contemporary.png","0"
"35","Paranormal","paranormal.png","0"
"36","Suspense","suspense.png","0"
"37","Humor and Comedy","humor_comedy.png","0"
"38","Chick Lit","chick_lit.png","0"
"39","Gay and Lesbian","lgbt.png","0"
"40","LGBTQ+","lgbtq.png","0"
