id,category_name,category_image,status
1,fiction,upload/fiction.jpg,1
2,fantasy,upload/fantasy.png,1
3,science fiction,upload/science_fiction.png,1
4,romance,upload/romance.png,1
5,mystery,upload/mystery.png,1
6,thriller,upload/thriller.png,1
7,horror,upload/horror.png,1
8,young adult,upload/young_adult.png,1
9,nonfiction,upload/nonfiction.png,1
10,biography,upload/biography.png,1
11,memoir,upload/memoir.png,0
12,harlequin,Harlequin_Romance.png,1
13,adventure,adventure.png,1
14,crime,crime.png,1
