"id","category_name","category_image","status"
1,"Fiction","fiction.jpg","active"
2,"Non-Fiction","nonfiction.jpg","active"
3,"Romance","romance.jpg","active"
4,"Mystery & Thriller","mystery.jpg","active"
5,"Fantasy","fantasy.jpg","active"
6,"Science Fiction","scifi.jpg","active"
7,"Horror","horror.jpg","active"
8,"Young Adult","youngadult.jpg","active"
9,"Children's","childrens.jpg","active"
10,"Historical Fiction","historical.jpg","active"
11,"Biography & Memoir","biography.jpg","active"
12,"Self Help","selfhelp.jpg","active"
13,"Business","business.jpg","active"
14,"Health & Wellness","health.jpg","active"
15,"Travel","travel.jpg","active"
16,"Cookbooks","cookbooks.jpg","active"
17,"Art & Design","art.jpg","active"
18,"Music","music.jpg","active"
19,"Sports","sports.jpg","active"
20,"Religion & Spirituality","religion.jpg","active"
21,"Philosophy","philosophy.jpg","active"
22,"Psychology","psychology.jpg","active"
23,"Science","science.jpg","active"
24,"History","history.jpg","active"
25,"Poetry","poetry.jpg","active"
26,"Humor & Comedy","humor.jpg","active"
27,"Comics & Graphic Novels","comics.jpg","active"
28,"LGBTQ+","lgbtq.jpg","active"
29,"Classics","classics.jpg","active"
30,"Contemporary","contemporary.jpg","active"
31,"Crime","crime.jpg","active"
32,"Suspense","suspense.jpg","active"
33,"Paranormal","paranormal.jpg","active"
34,"Christian","christian.jpg","active"
35,"Manga","manga.jpg","active"
