"id","cat_id","sub_cat_id","author_ids","book_access","title","description","image","url_type","url","download_enable","book_on_rent","book_rent_price","book_rent_time","featured","status"
"1","0","0","author_ids","book_access","title","description","image","url_type","url","0","0","0.00","0","0","0"
"327","1","1","187","Free","Why Zebras Don't Get Ulcers","Now in a third edition, Robert M. Sapolsky's acclaimed and successful Why Zebras Don't Get Ulcers features new chapters on how stress affects sleep and addiction, as well as new insights into anxiety and personality disorder and the impact of spirituality on managing stress.As Sapolsky explains, most of us do not lie awake at night worrying about whether we have leprosy or malaria. Instead, the diseases we fear—and the ones that plague us now—are illnesses brought on by the slow accumulation of damage, such as heart disease and cancer. When we worry or experience stress, our body turns on the same physiological responses that an animal's does, but we do not resolve conflict in the same way—through fighting or fleeing. Over time, this activation of a stress response makes us sick.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1441955030i/327.jpg","local","upload\Robert M. Sapolsky\Robert_M._Sapolsky_-_Why_Zebras_Don't_Get_Ulcers__The_Acclaimed_Guide_to_Stress,_Stress-Related_Diseases,_and_Coping__-Holt_Paperbacks_(2004).epub","0","0","0.00","0","0","1"
"960","1","2","630","Free","Angels & Demons","An ancient secret brotherhood.A devastating new weapon of destruction.When world-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a mysterious symbol -- seared into the chest of a murdered physicist -- he discovers evidence of the unimaginable: the resurgence of an ancient secret brotherhood known as the Illuminati...the most powerful underground organization ever to walk the earth. The Illuminati has now surfaced to carry out the final phase of its legendary vendetta against its most hated enemy -- the Catholic Church. Langdon's worst fears are confirmed on the eve of the Vatican's holy conclave, when a messenger of the Illuminati announces they have hidden an unstoppable time bomb at the very heart of Vatican City. With the countdown under way, Langdon jets to Rome to join forces with Vittoria Vetra, a beautiful and mysterious Italian scientist, to assist the Vatican in a desperate bid for survival.Embarking on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and even the most secretive vault on earth, Langdon and Vetra follow a 400-year-old trail of ancient symbols that snakes across Rome toward the long-forgotten Illuminati lair...a clandestine location that contains the only hope for Vatican salvation.An explosive international thriller, Angels & Demons careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1696691404i/960.jpg","local","upload\Dan       Brown\Angels_&_Demons_-_Dan_Brown.epub","0","0","0.00","0","0","1"
"1303","1","1","865","Free","The 48 Laws of Power","Amoral, cunning, ruthless, and instructive, this multi-million-copy New York Times bestseller is the definitive manual for anyone interested in gaining, observing, or defending against ultimate control – from the author of The Laws of Human Nature.In the book that People magazine proclaimed “beguiling” and “fascinating,” Robert Greene and Joost Elffers have distilled three thousand years of the history of power into 48 essential laws by drawing from the philosophies of Machiavelli, Sun Tzu, and Carl Von Clausewitz and also from the lives of figures ranging from Henry Kissinger to P.T. Barnum. Some laws teach the need for prudence (“Law 1: Never Outshine the Master”), others teach the value of confidence (“Law 28: Enter Action with Boldness”), and many recommend absolute self-preservation (“Law 15: Crush Your Enemy Totally”). Every law, though, has one thing in common: an interest in total domination. In a bold and arresting two-color package, The 48 Laws of Power is ideal whether your aim is conquest, self-defense, or simply to understand the rules of the game.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1694722764i/1303.jpg","local","upload\Robert Greene\48_laws_of_powers_-_Robert_Greene.epub","0","0","0.00","0","0","1"
"1622","1","2","947,569383,8140","Free","A Midsummer Night’s Dream","Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327874534i/1622.jpg","local","upload\William Shakespeare\A_Midsummer_Nights_Dream.ePub","0","0","0.00","0","0","1"
"1953","1","2","239579,61986","Free","A Tale of Two Cities","A Tale of Two Cities is Charles Dickens’s great historical novel, set against the violent upheaval of the French Revolution. The most famous and perhaps the most popular of his works, it compresses an event of immense complexity to the scale of a family history, with a cast of characters that includes a bloodthirsty ogress and an antihero as believably flawed as any in modern fiction. Though the least typical of the author’s novels, A Tale of Two Cities still underscores many of his enduring themes—imprisonment, injustice, social anarchy, resurrection, and the renunciation that fosters renewal.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953.jpg","local","upload\Charles Dickens\A_Tale_of_Two_Cities_and_Great_-_Charles_Dickens.epub","0","0","0.00","0","0","1"
"1972","1","3","1328","Free","Den of Thieves","A #1 bestseller from coast to coast, Den of Thieves tells the full story of the insider-trading scandal that nearly destroyed Wall Street, the men who pulled it off, and the chase that finally brought them to justice.Pulitzer Prize–winner James B. Stewart shows for the first time how four of the eighties’ biggest names on Wall Street—Michael Milken, Ivan Boesky, Martin Siegel, and Dennis Levine—created the greatest insider-trading ring in financial history and almost walked away with billions, until a team of downtrodden detectives triumphed over some of America’s most expensive lawyers to bring this powerful quartet to justice.Based on secret grand jury transcripts, interviews, and actual trading records, and containing explosive new revelations about Michael Milken and Ivan Boesky, Den of Thieves weaves all the facts into an unforgettable narrative—a portrait of human nature, big business, and crime of unparalleled proportions.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1441985458i/1972.jpg","local","upload\James B. Stewart\James_B._Stewart_-_Den_of_Thieves-Simon_Schuster_(1992).epub","0","0","0.00","0","0","1"
"1990","1","2","239579,1340,3128534","Free","Martin Chuzzlewit","While writing Martin Chuzzlewit - his sixth novel - Dickens declared it 'immeasurably the best of my stories.' He was already famous as the author of The Pickwick Papers and Oliver Twist. Set partly in America, which Dickens had visited in 1842, the novel includes a searing satire on the United States. Martin Chuzzlewit is the story of two Chuzzlewits, Martin and Jonas, who have inherited the characteristic Chuzzlewit selfishness. It contrasts their diverse fates of moral redemption and worldly success for one, with increasingly desperate crime for the other. This powerful black comedy involves hypocrisy, greed and blackmail, as well as the most famous of Dickens's grotesques, Mrs Gamp.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334392783i/1990.jpg","local","upload\Charles Dickens\Martin_Chuzzlewit_-_Charles_Dickens.epub","0","0","0.00","0","0","1"
"2330","1","2","1583","Free","The Languages of Tolkien's Middle-Earth","The same delight that led Tolkien to invent fourteen different languages and assorted alphabets for his Middle-earth dwellers now leads many of his fans to puzzle out translations for the Rohirrim's battle cries and to write their love letters in Elvish.Here is the perfect handbook for all such enthusiasts as well as for serious students of language. It includes a full account of Tolkien the linguist, as well as telling how to write all the languages, with guides to grammar and pronunciation, and a complete dictionary of the fourteen languages.Here is a book to deepen and enhance our enjoyment of those classics of Middle-earth, The Hobbit, The Lord of the Rings, and The Silmarillion.Ruth Noel teaches remedial and developmental reading in Riverside, California. She is the author of The Mythology of Middle-earth, on the relation between The Lord of the Rings and European myth in general. ""The author is convincing and fascinating as she connects Tolkien's fantasies with the hallowed myths of other cultures."" - Publishers Weekly","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438367035i/2330.jpg","local","upload\Ruth S. Noel\A_chart_of_Quenya_noun_declensi_-_J._R._R._Tolkien.epub","0","0","0.00","0","0","1"
"2623","1","2","239579,3613,2876589","Free","Great Expectations","Great Expectations charts the progress of Pip from childhood through often painful experiences to adulthood, as he moves from the Kent marshes to busy, commercial London, encountering a variety of extraordinary characters ranging from Magwitch, the escaped convict, to Miss Havisham, locked up with her unhappy past and living with her ward, the arrogant, beautiful Estella.Pip must discover his true self, and his own set of values and priorities. Whether such values allow one to prosper in the complex world of early Victorian England is the major question posed by Great Expectations, one of Dickens's most fascinating, and disturbing, novels.This edition includes the original, discarded ending, Dickens's brief working notes, and the serial instalments and chapter divisions in different editions. It also uses the definitive Clarendon text.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631687432i/2623.jpg","local","upload\Charles Dickens\Great_Expectations_-_Charles_Dickens.epub","0","0","0.00","0","0","1"
